sample_id,sample_type,step0_raw,step1_filtered,step1_pct,step2_trimmed,step2_pct,step5_otu97,step5_pct,silva_filtered,silva_pct,gg2_filtered,gg2_pct,emu_classified,emu_classified_pct,emu_unclassified,emu_total_mapped_pct
Run06_fecal_barcode04,Fecal,18895,16761,88.7,16761,100.0,16761,100.0,8191,48.9,11883,70.9,13406,70.9,3355,88.7
Run06_fecal_barcode05,Fecal,22780,21241,93.2,21241,100.0,21241,100.0,10672,50.2,16462,77.5,18448,81.0,2793,93.2
Run06_fecal_barcode06,Fecal,26156,24346,93.1,24346,100.0,24346,100.0,11611,47.7,17055,70.1,20807,79.5,3538,93.1
Run06_fecal_barcode07,Fecal,0,22622,NA,22622,100.0,22622,100.0,11201,49.5,15935,70.4,20032,NA,2589,NA
Run06_fecal_barcode08,Fecal,20012,17932,89.6,17932,100.0,17932,100.0,8846,49.3,13029,72.7,15312,76.5,2619,89.6
Run06_fecal_barcode09,Fecal,20899,18687,89.4,18686,100.0,18686,100.0,9326,49.9,12309,65.9,14453,69.2,4233,89.4
Run06_fecal_barcode10,Fecal,17185,15387,89.5,15387,100.0,15387,100.0,7696,50.0,10338,67.2,12303,71.6,3084,89.5
Run06_fecal_barcode11,Fecal,19452,17642,90.7,17642,100.0,17642,100.0,8664,49.1,13199,74.8,13852,71.2,3790,90.7
Run06_fecal_barcode17,Fecal,20895,19136,91.6,19136,100.0,19136,100.0,9679,50.6,12544,65.6,15933,76.3,3203,91.6
Run06_fecal_barcode18,Fecal,20733,19359,93.4,19359,100.0,19359,100.0,9556,49.4,15466,79.9,17163,82.8,2195,93.4
Run06_fecal_barcode19,Fecal,27559,25423,92.2,25422,100.0,25422,100.0,12112,47.6,17939,70.6,21762,79.0,3659,92.2
Run06_fecal_barcode20,Fecal,17166,15469,90.1,15469,100.0,15469,100.0,7573,49.0,11013,71.2,12439,72.5,3029,90.1
Run06_fecal_barcode21,Fecal,18232,16098,88.3,16097,100.0,16097,100.0,8074,50.2,11473,71.3,11981,65.7,4115,88.3
Run06_fecal_barcode22,Fecal,22203,20363,91.7,20363,100.0,20363,100.0,9558,46.9,15617,76.7,16834,75.8,3529,91.7
